"Plan_name","fund_family","fund_class","fund_type","investment_plan","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","asset_size1","asset_date","riskometer"
"Aditya Birla Sun Life 5 STAR Multi Manager FoF Scheme - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Equity oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Jan 01, 2013","-6.1","-6.0","-11.3","-6.7","23.1","14.3","-","15","15","15","14","5","1","-","-6.6","3.9","6.8","-12.2","-","-","-1.4","21.5","-2.3","-","-","-2.0","6.0","-1.2","-","-","1.0","6.9","13.8","-","-6.6","4.4","49.3","-1.6","-","28.17 (Aug 07, 15)","24.79 (Jan 20, 16)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"94.66",0,5.34,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","0.1","Dec-15","0.2","Sep-15","0.2","Jun-15","0.1","Mar-15","0.1","Dec-14","0.0","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","1.1","Jan-29-2016","HIGH"
"Aditya Birla Sun Life 5 STAR Multi Manager FoF Scheme (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Equity oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Nov 24, 2006","-6.2","-6.0","-11.4","-6.8","23.0","13.9","11.3","16","16","16","15","6","3","4","-6.6","3.9","6.8","-11.7","14.1","-","-1.4","21.4","-2.3","-3.0","-","-2.0","5.9","-2.0","7.8","-","1.0","7.0","13.7","7.0","-6.6","4.4","49.1","-1.9","33.2","27.91 (Aug 07, 15)","24.56 (Jan 20, 16)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"94.66",0,5.34,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","0.4","Dec-15","1.0","Sep-15","1.0","Jun-15","0.9","Mar-15","0.9","Dec-14","0.9","Sep-14","0.9","Jun-14","0.8","Mar-14","0.8","Dec-13","0.8","Sep-13","0.9","Jun-13","0.9","Mar-13","1.0","1.1","Jan-29-2016","HIGH"
"Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Debt oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 02, 2013","-0.5","-0.7","-","2.2","9.2","7.3","7.9","7","7","7","7","2","5","4","-0.5","2.6","3.1","2.7","1.6","2.2","2.3","-1.4","2.5","3.8","1.4","5.8","4.5","1.6","-4.4","-0.8","2.7","-0.6","6.4","1.4","2.2","15.1","6.0","14.3","3.0","23.79 (Sep 06, 17)","22.63 (Feb 09, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.39",0,0.62,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Jun-17","6.4","Mar-17","6.3","Dec-16","6.2","Dec-16","37.1","Oct-16","36.5","Sep-16","5.9","Jun-16","5.7","Mar-16","5.5","Dec-15","5.5","Sep-15","9.5","Jun-15","10.7","Mar-15","8.3","Dec-14","6.8","Sep-14","6.0","Jun-14","6.2","Mar-14","7.1","Dec-13","15.0","Sep-13","33.2","Jun-13","25.9","Mar-13","1.9","6.9","Dec-29-2017","MODERATE"
"Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Debt oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Dec 28, 2006","-0.5","-0.9","-0.3","1.7","8.6","6.8","7.5","8","8","7","8","5","8","5","-0.6","2.5","3.0","2.6","2.4","2.1","2.2","-1.6","2.3","3.8","1.3","5.7","4.4","1.4","-4.4","-0.9","2.5","-0.8","6.2","1.4","1.7","14.6","5.5","13.7","3.5","23.31 (Sep 06, 17)","22.23 (Feb 09, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.39",0,0.62,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Jun-17","78.2","Mar-17","78.4","Dec-16","81.2","Dec-16","36.5","Oct-16","35.9","Sep-16","84.7","Jun-16","87.9","Mar-16","95.0","Dec-15","100.2","Sep-15","106.2","Jun-15","108.0","Mar-15","90.0","Dec-14","58.1","Sep-14","71.9","Jun-14","97.3","Mar-14","140.3","Dec-13","197.3","Sep-13","238.1","Jun-13","273.2","Mar-13","263.3","72.8","Dec-29-2017","MODERATE"
"Aditya Birla Sun Life Advantage Fund - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","BSE 200","Jan 02, 2013","-0.1","1.2","10.1","33.0","30.0","16.4","23.0","223","217","153","100","39","43","16","16.0","-3.9","6.1","8.8","-11.0","5.9","11.4","-1.7","25.6","0.8","7.0","12.1","-2.3","3.2","-1.1","6.6","-11.8","0.4","13.0","16.6","42.7","9.2","5.8","60.5","5.7","470.61 (Jan 08, 18)","343.26 (Jan 20, 17)","HDFC Bank","Maruti Suzuki","HPCL","SBI","ICICI Bank","Voltas","Eicher Motors","Natco Pharma","Dalmia Bharat","Yes Bank","Banking/Finance","Automotive","Oil & Gas","Banking/Finance","Banking/Finance","Conglomerates","Automotive","Pharmaceuticals","Cement","Banking/Finance","32.77","32.35","31.28","30.29","24.54","24.05","23.41","20.15","19.44","19.29","4.62","4.56","4.41","4.27","3.46","3.39","3.30","2.84","2.74","2.72",96.63,0.21,0,"N.A",0,3.18,"21.32","36.31","50.92","Banking/Finance","Oil & Gas","Automotive","Cement","Conglomerates","Pharmaceuticals","29.34","11.07","10.51","9.36","4.74","4.43","29.81","9.21","12.47","6.04","1.20","7.34","29.81","9.21","12.47","6.04","1.20","7.34","Dec-17","709.3","Sep-17","493.0","Jun-17","343.8","Mar-17","230.3","Dec-16","154.0","Sep-16","109.9","Jun-16","73.3","Mar-16","41.5","Dec-15","24.6","Sep-15","18.5","Jun-15","12.2","Mar-15","10.8","Dec-14","8.6","Sep-14","5.6","Jun-14","4.3","Mar-14","2.8","Dec-13","2.5","Sep-13","2.4","Jun-13","2.5","Mar-13","2.5","709.3","Dec-29-2017","MODERATELY HIGH"
"Aditya Birla Sun Life Advantage Fund (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","BSE 200","Feb 24, 1995","-0.2","0.8","9.4","31.3","28.4","15.2","22.0","224","218","166","117","62","60","25","15.6","-4.2","6.0","8.6","-10.4","5.6","11.1","-1.8","25.4","0.7","6.7","11.8","-2.5","3.1","-1.2","6.3","-12.0","0.2","12.9","16.4","40.9","8.0","5.2","59.7","6.0","452.49 (Jan 08, 18)","334.15 (Jan 20, 17)","HDFC Bank","Maruti Suzuki","HPCL","SBI","ICICI Bank","Voltas","Eicher Motors","Natco Pharma","Dalmia Bharat","Yes Bank","Banking/Finance","Automotive","Oil & Gas","Banking/Finance","Banking/Finance","Conglomerates","Automotive","Pharmaceuticals","Cement","Banking/Finance","202.62","199.99","193.41","187.27","151.74","148.67","144.73","124.55","120.17","119.29","4.62","4.56","4.41","4.27","3.46","3.39","3.30","2.84","2.74","2.72",96.63,0.21,0,"N.A",0,3.18,"21.32","36.31","50.92","Banking/Finance","Oil & Gas","Automotive","Cement","Conglomerates","Pharmaceuticals","29.34","11.07","10.51","9.36","4.74","4.43","29.81","9.21","12.47","6.04","1.20","7.34","29.81","9.21","12.47","6.04","1.20","7.34","Dec-17","4,385.7","Sep-17","3,664.8","Jun-17","3,112.3","Mar-17","2,353.3","Dec-16","1,703.5","Sep-16","1,363.7","Jun-16","1,049.7","Mar-16","825.0","Dec-15","556.0","Sep-15","521.3","Jun-15","435.5","Mar-15","427.9","Dec-14","384.4","Sep-14","437.6","Jun-14","367.8","Mar-14","283.6","Dec-13","276.4","Sep-13","259.6","Jun-13","277.2","Mar-13","298.3","4,385.7","Dec-29-2017","MODERATELY HIGH"
"Aditya Birla Sun Life Asset Allocation Fund - Aggressive Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Equity oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX Nifty","Jan 20, 2004","-4.3","-4.6","-8.3","-4.8","18.7","12.4","9.0","13","13","13","12","8","7","5","-4.9","3.8","2.9","-7.6","8.4","-","-2.0","14.3","-1.0","-2.0","-","-0.2","1.4","-2.2","6.1","-","0.3","11.1","12.3","3.8","-4.9","4.1","36.6","2.1","19.6","55.30 (Aug 19, 15)","49.99 (Jan 20, 16)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"92.53",0,7.47,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","3.6","Dec-15","9.8","Sep-15","10.1","Jun-15","10.0","Mar-15","10.2","Dec-14","9.3","Sep-14","9.0","Jun-14","8.7","Mar-14","7.8","Dec-13","7.9","Sep-13","7.8","Jun-13","9.0","Mar-13","11.0","10.0","Jan-29-2016","MODERATELY HIGH"
"Aditya Birla Sun Life Asset Allocation Fund- Conservative Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 20, 2004","-1.9","-2.1","-1.5","0.4","12.6","8.8","8.2","58","58","58","58","44","40","30","-2.0","3.4","2.2","-0.3","4.1","-","-1.3","6.5","2.1","0.8","-","2.6","1.7","-4.4","3.5","-","-","9.0","4.4","2.8","-2.0","5.7","22.2","2.1","12.6","31.32 (Oct 20, 15)","30.22 (Aug 24, 15)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"82.14",0,17.86,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","1.0","Dec-15","2.7","Sep-15","2.8","Jun-15","2.9","Mar-15","2.9","Dec-14","2.8","Sep-14","2.6","Jun-14","2.6","Mar-14","2.6","Dec-13","2.6","Sep-13","2.9","Jun-13","3.7","Mar-13","5.3","2.6","Jan-29-2016","MODERATE"
"Aditya Birla Sun Life Asset Allocation Fund - Direct Plan - Aggressive Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Equity oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX Nifty","Jan 01, 2013","-4.3","-4.6","-8.3","-4.8","18.7","12.4","-","13","13","13","12","8","7","-","-4.9","3.8","2.9","-8.0","-","-","-2.0","14.3","-1.0","-","-","-0.2","1.4","-2.2","-","-","0.3","11.1","12.3","-","-4.9","4.1","36.5","1.7","-","55.30 (Aug 19, 15)","49.99 (Jan 20, 16)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"92.53",0,7.47,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","0.2","Dec-15","0.7","Sep-15","0.7","Jun-15","0.7","Mar-15","0.7","Dec-14","0.4","Sep-14","0.2","Jun-14","0.1","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.2","Mar-13","0.1","10.0","Jan-29-2016","MODERATELY HIGH"
"Aditya Birla Sun Life Asset Allocation Fund - Direct Plan- Conservative Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-1.9","-2.1","-1.5","0.4","12.6","8.8","-","58","58","58","58","44","40","-","-2.0","3.4","2.2","-0.5","-","-","-1.3","6.5","2.1","-","-","2.6","1.7","-4.4","-","-","-","9.0","4.4","-","-2.0","5.7","22.2","2.0","-","31.31 (Oct 20, 15)","30.21 (Aug 24, 15)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"82.14",0,17.86,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","0.1","Dec-15","0.2","Sep-15","0.1","Jun-15","0.1","Mar-15","0.1","Dec-14","0.1","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","2.6","Jan-29-2016","MODERATE"
"Aditya Birla Sun Life Asset Allocation Fund - Direct Plan - Moderate Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-3.0","-3.1","-4.9","-1.8","16.7","11.4","-","60","60","60","60","14","6","-","-3.4","3.8","2.3","-5.2","-","-","-1.7","11.2","0.8","-","-","1.1","1.7","-3.4","-","-","0.4","10.1","9.3","-","-3.4","5.4","30.4","2.1","-","45.52 (Aug 19, 15)","42.79 (Jan 20, 16)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"81.39",0,18.61,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","0.1","Dec-15","0.3","Sep-15","0.3","Jun-15","0.3","Mar-15","0.1","Dec-14","0.1","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","5.8","Jan-29-2016","MODERATELY HIGH"
"Aditya Birla Sun Life Asset Allocation Fund - Moderate Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 20, 2004","-3.0","-3.1","-4.9","-1.8","16.6","11.4","9.3","60","60","60","60","16","6","27","-3.4","3.7","2.3","-4.9","6.4","-","-1.7","11.2","0.8","-0.4","-","1.1","1.7","-3.4","5.3","-","0.4","10.1","9.3","3.8","-3.4","5.3","30.4","2.4","17.6","45.50 (Aug 19, 15)","42.76 (Jan 20, 16)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"81.39",0,18.61,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-16","2.2","Dec-15","5.6","Sep-15","5.2","Jun-15","4.7","Mar-15","4.8","Dec-14","4.5","Sep-14","4.2","Jun-14","4.1","Mar-14","4.0","Dec-13","4.1","Sep-13","4.4","Jun-13","5.0","Mar-13","7.8","5.8","Jan-29-2016","MODERATELY HIGH"
"Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 02, 2013","1.0","2.1","3.9","16.3","17.3","10.8","-1.2","45","38","42","20","7","13","32","6.2","-1.2","3.7","5.2","-8.0","4.2","5.8","-1.5","8.8","-","2.5","6.6","-0.2","-","-4.2","3.0","-1.7","0.7","-","9.5","17.6","11.4","5.0","-30.8","-2.0","14.22 (Jan 15, 18)","12.16 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"91.30",0,8.69,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","0.4","Sep-17","0.4","Jun-17","0.3","Mar-17","0.2","Dec-16","0.2","Dec-16","23.1","Oct-16","23.9","Sep-16","0.2","Jun-16","0.2","Mar-16","0.2","Dec-15","0.2","Sep-15","0.3","Jun-15","0.3","Mar-15","0.1","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","0.4","Dec-29-2017","HIGH"
"Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme (G) ","Aditya Birla Sun Life Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Aug 17, 2006","1.0","2.1","3.8","16.2","17.3","10.8","13.7","45","41","44","21","7","13","5","6.2","-1.2","3.7","5.2","-7.1","4.2","5.8","-1.5","13.8","-","2.4","6.5","-0.2","6.2","-4.2","3.0","-1.7","0.7","6.8","9.4","17.6","11.4","5.0","38.6","-1.1","28.44 (Jan 15, 18)","24.34 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"91.30",0,8.69,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Jun-17","3.2","Mar-17","3.1","Dec-16","3.1","Dec-16","45.5","Oct-16","47.0","Sep-16","3.1","Jun-16","3.1","Mar-16","3.0","Dec-15","3.1","Sep-15","3.2","Jun-15","3.2","Mar-15","3.5","Dec-14","3.5","Sep-14","3.4","Jun-14","3.1","Mar-14","2.9","Dec-13","2.9","Sep-13","2.9","Jun-13","3.2","Mar-13","3.7","4.6","Dec-29-2017","HIGH"
"Aditya Birla Sun Life Bal. 95 Fund - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Balanced","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 02, 2013","1.2","3.4","8.1","23.0","21.9","12.6","18.1","55","49","28","20","14","15","8","10.9","-2.2","2.8","7.1","-5.3","3.3","8.8","-1.6","19.0","1.6","3.7","6.6","-0.8","5.6","-1.6","5.5","-5.3","2.0","10.7","9.4","26.8","9.7","4.0","50.0","5.2","819.33 (Jan 08, 18)","656.68 (Jan 20, 17)","HDFC Bank","ICICI Bank","Infosys","Eris Life","Hindalco","ITC","IndusInd Bank","Eicher Motors","Whirlpool","Maruti Suzuki","Banking/Finance","Banking/Finance","Technology","Pharmaceuticals","Metals & Mining","Tobacco","Banking/Finance","Automotive","Cons Durable","Automotive","42.24","31.43","16.35","14.56","13.63","13.54","13.12","12.86","12.69","12.35","4.96","3.69","1.92","1.71","1.60","1.59","1.54","1.51","1.49","1.45",72.52,1.44,18.1,"N.A",0.71,7.21,"13.88","21.46","32.93","Banking/Finance","Oil & Gas","Automotive","Pharmaceuticals","Technology","Metals & Mining","21.60","5.92","5.41","5.29","3.99","3.77","21.05","4.76","7.25","6.52","4.67","1.51","21.05","4.76","7.25","6.52","4.67","1.51","Sep-17","679.8","Jun-17","533.8","Mar-17","409.6","Dec-16","323.6","Dec-16","811.3","Sep-16","232.7","Jun-16","164.9","Mar-16","131.3","Dec-15","128.5","Sep-15","116.7","Jun-15","105.5","Mar-15","80.0","Dec-14","43.1","Sep-14","29.0","Jun-14","22.2","Mar-14","15.7","Dec-13","11.3","Sep-13","7.9","Jun-13","4.4","Mar-13","1.5","851.7","Dec-29-2017","MODERATELY HIGH"
"Aditya Birla Sun Life Bal. 95 Fund (G) ","Aditya Birla Sun Life Mutual Fund","Balanced","Open-Ended","Growth",5000,"Rs.0.43 (Jul-31-1996)","N.A.","N.A.","1.00%","","Feb 10, 1995","1.1","3.1","7.4","21.4","20.4","11.2","16.9","57","51","36","32","25","27","17","10.6","-2.5","2.6","6.9","-4.9","3.0","8.5","-1.9","18.7","1.6","3.4","6.3","-1.1","5.3","-1.8","5.2","-5.6","1.7","10.5","9.2","25.2","8.4","3.0","48.5","5.2","778.40 (Jan 08, 18)","631.70 (Jan 20, 17)","HDFC Bank","ICICI Bank","Infosys","Eris Life","Hindalco","ITC","IndusInd Bank","Eicher Motors","Whirlpool","Maruti Suzuki","Banking/Finance","Banking/Finance","Technology","Pharmaceuticals","Metals & Mining","Tobacco","Banking/Finance","Automotive","Cons Durable","Automotive","579.60","431.19","224.36","199.82","186.97","185.80","179.96","176.45","174.11","169.44","4.96","3.69","1.92","1.71","1.60","1.59","1.54","1.51","1.49","1.45",72.52,1.44,18.1,"N.A",0.71,7.21,"13.88","21.46","32.93","Banking/Finance","Oil & Gas","Automotive","Pharmaceuticals","Technology","Metals & Mining","21.60","5.92","5.41","5.29","3.99","3.77","21.05","4.76","7.25","6.52","4.67","1.51","21.05","4.76","7.25","6.52","4.67","1.51","Sep-17","9,773.4","Jun-17","7,921.1","Mar-17","5,927.2","Dec-16","4,483.7","Dec-16","741.7","Sep-16","3,439.7","Jun-16","2,632.1","Mar-16","2,210.4","Dec-15","1,971.2","Sep-15","1,590.7","Jun-15","1,350.7","Mar-15","1,229.2","Dec-14","1,015.0","Sep-14","857.9","Jun-14","714.1","Mar-14","630.8","Dec-13","608.9","Sep-13","576.8","Jun-13","581.0","Mar-13","574.5","10,000.0","Dec-29-2017","MODERATELY HIGH"
